Question,Bot Response,Expected Response,Jaccard Similarity,BLEU Score,ROUGE-1,ROUGE-2,ROUGE-L,Response Time
"What is the vision, mission, and creed of Sunway University, and how are they elaborated upon?","The University will carry out its mission with integrity and unwavering commitment to quality, service and excellence, financial self-reliance and professionalism, through continuous improvement, innovation, dedication, caring, mutual respect and team spirit. The University is committed to giving its students the best experience possible. However, there may be occasions when students may feel that they have grounds to appeal against an academic decision or","SUNWAY UNIVERSITY: VISION, MISSION, CREED AND EDUCATIONAL GOALS OUR VISION To be a World Class University,OUR MISSION To nurture all-round individuals and devote ourselves to the discovery, advancement, transmission and application of knowledge that meet the needs of our society and the global community,OUR CREED Sunway University will carry out its mission with integrity and unwavering dedication to excellence, enterprise, professionalism, financial self-reliance, innovation, mutual respect and team spirit",0.574468085106383,0.1842099319174942,0.38938052598324074,0.199999995010651,0.3539822958947451,3.3777944003231823
"What are the educational goals of Sunway University, and how are they elaborated upon?","The School will provide administrative support and advisory role for subjects such as Biology, Chemistry and Physics, and other subjects in which the School does not have sufficient staff to support the students. The School will provide appropriate guidance and support for subjects such are: Application for admission procedures; Airport pickup; Accommodation arrangement; Student pass (application, renewal, cancellation and queries); Insurance (hospitalization and outpatient). Sunway","OUR EDUCATIONAL GOALS Sunway University students will: become independent, lifelong learners who actively pursue knowledge and appreciate its global,application to economic, political, social and cultural development / become empowered with the competencies and capacity to contribute to a fast-changing economic, social and technological world / develop strong leadership qualities and communication skills / be prepared for careers that enable them to lead productive, fulfilling and meaningful lives / value integrity and become ethical, accountable, caring and responsible members of society.",0.6530612244897959,9.05853946789781e-232,0.10909090419669443,0.0,0.054545449651240106,3.7891840999946
"What is Sunway University's pursuit, and how is it elaborated upon?",The Sunway University Student Charter outlines the approach Sunway University takes to support the students learning and help them achieve their full potential. The Charter also outlines the key expectations and responsibilities of a student at Sunway University. The Charter is also intended to be an evolving document which will be reviewed periodically in the light of feedback and experience and is in no way a detailed personal agreement or contract. Sunway University is expected to:,"Sunway University seeks to carry out its mission with integrity and unwavering commitment to quality, service and excellence, financial self-reliance and professionalism, through continuous improvement, innovation, dedication, caring, mutual respect and team spirit.",0.7878787878787878,2.8871942127949523e-155,0.09999999537812522,0.019607838831219707,0.09999999537812522,3.5561815998516977
"What is the message conveyed by the Group Registrar, and how is it elaborated upon?","MESSAGE FROM THE GROUP REGISTRAR. It is my great pleasure to welcome all new students to Sunway University. Congratulations on your successful admission to the various programmes in Sunway University for the 2023 academic year. You have made the right decision to join this institution where people come together to learn from the best, to get first-hand knowledge through research-led teaching and to be exposed","MESSAGE FROM THE GROUP REGISTRAR. It is my great pleasure to welcome all new students to Sunway University. Congratulations on your successful admission to the various programmes in Sunway University for the 2023 academic year. You have made the right decision to join this institution where people come together to learn from the best, to get first-hand knowledge through research-led teaching and to be exposed to global intellectual discourse in an experiential environment. To help you navigate your life as a student here at Sunway University, the Registry has prepared this student handbook for you.",1.0,0.6303131865967199,0.8372092974580855,0.807692302877219,0.8372092974580855,3.182805700227618
What is the goal of the student handbook created by Sunway University's Registry?,"This handbook contains information on campus services and resources available to students, general rules and regulations, enrolment matters and important dates. This handbook serves as your main source of reference on official information related to academic administration and your responsibilities as a student in Sunway University. It is hoped that you will use the information provided in this handbook to plan your studies well and complete your studies on time.Section 6","This handbook contains information on campus services and resources available to students, general rules and regulations, enrolment matters and important dates. This handbook serves as your main source of reference on official information related to academic administration and your responsibilities as a student in Sunway University. It is hoped that you will use the information provided in this handbook to plan your studies well and complete your studies on time.Section 6 of this handbook provides vital information to international students. As such, I hope all international students will take note of the information and requirements stated in this section.",0.9375,0.6741071548946856,0.883333328401389,0.8518518469615913,0.883333328401389,3.2660497003234923
What does Sunway University's student handbook offer its readers in terms of information and its intended use?,"The Student Handbook is designed to complement the Sunway University Code of Conduct and your programme handbooks. These publications provide the information you need to make the most out of your learning experience with Sunway University. The Student Handbook contains information you need at hand to know about your rights and responsibilities as a student. You will also find information about the academic department, facilities and campus services available at Sun","As for the following section, besides equipping the campus with state-of-the-art teaching and research facilities, the University also endeavours to provide students with the right ecosystem and support so that you are able to enjoy a holistic student life.This handbook is subject to change hence you are encouraged to regularly check the online version at the Registry and iZone portal for updates. I hope you will benefit from the information provided in this handbook.I wish you success in all aspects of your student life. Ms Ng Beng Lean Group Registrar.",0.6136363636363636,3.57827552379963e-155,0.2833333284722223,0.025974021095463894,0.23333332847222235,3.1503230002708733
What initiatives does Sunway University take to encourage students in their development of a complete student life?,"Sunway University is committed to providing a safe and enriching environment to help students achieve their full potential. The Student Handbook is available in the Learning Management System, eLearn. It is hoped that you will use the information provided in this section to plan your studies well and complete your studies on time.Section 6 of this handbook provides vital information to international students. As such, I hope all international","1.1 GENERAL INFORMATION The Student Handbook is designed to complement the Sunway University Code of Conduct and your programme handbooks. These publications provide the information you need to make the most out of your learning experience with Sunway University. The Student Handbook contains information you need to know about your rights and responsibilities as a student. You will also find information about the academic department, facilities and campus services available at Sunway University campus. It is your responsibility to read and be conversant with the rules and regulations stated in the above publications. You will be expected to have this knowledge when studying at Sunway University. The Student Handbook will be updated from time to time and the latest copy is posted at https://izone.sunway.edu.my ",0.7021276595744681,0.029709857611665915,0.3007518748239019,0.07734806160739932,0.2857142808389395,3.2798202000558376
"What additional manuals or handbooks has Sunway University written, and what details are included?","Published by the University regarding academic delivery, Programme Details and General Studies; available in the Learning Management System, eLearn. Additional information, such as allocation of students to groups for tutorials and laboratory purposes;  Download of programme handbooks;  Sunway University Student Code of Conduct;  SunWAY UNIVERSITY Student Code of Credit.  Sunway College Student Code of Contact.  SunWAY University Website for",1.2 OTHER UNIVERSITY HANDBOOK Sunway University publishes the following handbooks: 1. The Sunway University Student Code of Conduct This handbook has been made available to all students at https://izone.sunway.edu.my. (Published by Registry) 2. Student Handbook for Postgraduate Programmes Incorporating information for students undertaking the Sunway University postgraduate programmes. (Published by School/Centre/Department) 3. Programme Handbook Incorporating programme information for students. (Published by School/Centre/Department) ,0.6727272727272727,0.07738233263998937,0.31111110611358034,0.07142856643494933,0.24444443944691369,3.3922180999070406
"What are Sunway University's schools, together with the departments and centres that make up each one?","Sunway University endeavours to promote equal opportunity for all students and provide an environment free of unfair discrimination on grounds of gender, ethnicity, nationality, disability, marital status, occupation, sexual orientation, religion or belief, age or any other irrelevant distinction. As a registered student of Sunway University, you are eligible to gain access to the campus facilities. The campus facilities include the IT services, the","Department of Communication, Department of Film and Performing Arts Department of Art,and Design and Media are all under School of Arts (SOA). Department of Psychology, Department of Biological Sciences, Department of Nursing, Department of Medical Sciences, and Department of Allied Healthcar are all under School of Medical and Life Sciences (SMLS). Department of Computing and Information Systems, and Department of Engineering are all under School of Engineering and Technology (SET). Department of Accounting, Department of Marketing Strategy and Innovation, Department of Management, Department of Economics and Finance, and Department of Business are all under Analytics Sunway Business School (SBS). Department of Pure and Applied Mathematics, Department of Actuarial Science & Risk, and Department of Applied Statistics are all under School of Mathematical Sciences (SMS).",0.574468085106383,4.1028606168287145e-232,0.09433961764328969,0.0,0.07547169311498787,3.323717299848795
What are the Sunway University's corresponding departments and centres for the following schools?,"Department of Communication, Department of Film and Performing Arts Department of Art,and Design and Media are all under School of Arts (SOA). Department of Psychology, Department of Biological Sciences, Department of Nursing, Department of Medical Sciences, and Department of Allied Healthcar are all under Student Healthcar Sunway University (SMLS). Department of Computing and Information Systems, and Department is located within the Student Centre at","School of Hospitality and Services Management (SHSM) has Centre for Hospitality Innovation & Leadership. Centre for English Language Studies, Jeffrey Sachs Centre on Sustainable Development, and Jeffrey Cheah Institute on Southeast Asia are all under School of Interdisciplinary Studies (SINDS)",0.7674418604651163,0.06134835553552661,0.21212120713957774,0.089887635591466,0.21212120713957774,3.415948400273919
What are the many Sunway campus types and what does each one entail?,"Sunway campus has over 90,000 students and facilities which are located within the Sunway metropolitan area. These facilities include science laboratories, language laboratory, specialised computer laboratories, campus accommodation, etc. Additional facilities are available in the campus buildings as well as in the on- campus accommodation residences. Such facilities include science labs, language laboratory and campus accommodation. Additional fees are applicable for the use of these facilities and the fees"," 1.4 CAMPUSES Sunway has five campuses operating at different locations in Malaysia. a)Sunway College i. Operating address (Bandar Sunway): No 2, Jalan Universiti, Bandar Sunway 47500 Selangor Darul Ehsan Contact Number: 03-56387176 Website: https://sunwaycollege.edu.my/ ii. Operating address (Velocity): V01-06-01, Lingkaran SV Sunway Velocity 55100 Kuala Lumpur Contact Number:03-97701155 Website https://sunway.edu.my/velocity/",0.5087719298245614,8.93945512687472e-232,0.06521738632561476,0.0,0.06521738632561476,3.3020357000641525
"What additional campus kinds does Sunway provide, and what is the specifics of each?","Sunway College is providing a comprehensive range of teaching and learning facilities, including individual and group study, Silent Zone, Group Project Pods, Training Rooms, computer areas, Viewing Zone, Collaborative Zones, Instructional Lab and an extended hour study area which is open after the Library closes. The resource-rich library is equipped with print, audio-visual and e-resource collections. Users can access","b) Sunway University Address: No 5 Jalan Universiti, Bandar Sunway 47500 Selangor Darul Ehsan.Contact Number: 03-74918622 Website: https://university.sunway.edu.my/ c) Sunway College Ipoh No 1, 3 & 5, Persiaran SCI 2/2, Sunway City Ipoh, Address: 31150 Ipoh, Perak Darul Ridzuan. Contact Number: 05-545 4398 Website: https://sunway.edu.my/ipoh/ d) Sunway College Johor Bahru Address: No 3 Jalan Austin Heights Utama, Taman Mount Austin, 81100 Johor Bahru, Johor Darul Tazim Contact Number:07-3596880 Website: https://sunway.edu.my/jb/ e) Sunway College Kuching Address: No.1, Song Plaza (1st Floor), Lot 12168, Block 16, Jalan Tun Jugah / Jalan Song Intersection, 93350 Kuching, Sarawak, Malaysia Contact Number:082-451221 Website: https://swck.edu.my/ ",0.4925373134328358,1.1773965975132196e-155,0.03149605812883702,0.012658223201411736,0.03149605812883702,3.1612291000783443
